date,hour,temp_c,precip_mm,wind_kmh,snow_depth_mm,is_raining,is_snowing,is_bad_weather,wind_strong
2023-01-29,4,5.6,0.51,3.0,0.0,1,0,0,0
2023-01-29,5,5.6,0.51,3.0,0.0,1,0,0,0
2023-01-29,6,5.6,0.51,3.0,0.0,1,0,0,0
2023-01-29,7,5.6,0.51,3.0,0.0,1,0,0,0
2023-01-29,8,5.6,0.51,3.0,0.0,1,0,0,0
2023-01-29,9,5.6,0.51,3.0,0.0,1,0,0,0
2023-01-29,10,7.8,0.51,4.0,0.0,1,0,0,0
2023-01-29,11,7.8,0.51,4.0,0.0,1,0,0,0
2023-01-29,12,7.8,0.51,4.0,0.0,1,0,0,0
2023-01-29,13,10.0,0.51,5.0,0.0,1,0,0,0
2023-01-29,14,10.0,0.51,5.0,0.0,1,0,0,0
2023-01-29,15,10.0,0.51,5.0,0.0,1,0,0,0
2023-01-29,16,10.0,0.51,4.0,0.0,1,0,0,0
2023-01-29,17,10.0,0.51,4.0,0.0,1,0,0,0
2023-01-29,18,10.0,0.51,4.0,0.0,1,0,0,0
2023-01-29,19,10.0,0.51,6.0,0.0,1,0,0,0
2023-01-29,20,10.0,0.51,6.0,0.0,1,0,0,0
2023-01-29,21,10.0,0.51,6.0,0.0,1,0,0,0
2023-01-29,22,8.9,0.51,3.0,0.0,1,0,0,0
2023-01-29,23,8.9,0.51,3.0,0.0,1,0,0,0
2023-01-30,0,8.9,0.51,3.0,0.0,1,0,0,0
2023-01-30,1,8.3,0.51,6.0,0.0,1,0,0,0
2023-01-30,2,8.3,0.51,6.0,0.0,1,0,0,0
2023-01-30,3,8.3,0.51,6.0,0.0,1,0,0,0
2023-01-30,4,7.8,0.51,4.0,0.0,1,0,0,0
2023-01-30,5,7.8,0.51,4.0,0.0,1,0,0,0
2023-01-30,6,7.8,0.51,4.0,0.0,1,0,0,0
2023-01-30,7,6.1,0.51,0.0,0.0,1,0,0,0
2023-01-30,8,6.1,0.51,0.0,0.0,1,0,0,0
2023-01-30,9,6.1,0.51,0.0,0.0,1,0,0,0
2023-01-30,10,8.3,0.51,1.0,0.0,1,0,0,0
2023-01-30,11,8.3,0.51,1.0,0.0,1,0,0,0
2023-01-30,12,8.3,0.51,1.0,0.0,1,0,0,0
2023-01-30,13,11.7,0.51,2.0,0.0,1,0,0,0
2023-01-30,14,11.7,0.51,2.0,0.0,1,0,0,0
2023-01-30,15,11.7,0.51,2.0,0.0,1,0,0,0
2023-01-30,16,12.2,0.51,5.0,0.0,1,0,0,0
2023-01-30,17,12.2,0.51,5.0,0.0,1,0,0,0
2023-01-30,18,12.2,0.51,5.0,0.0,1,0,0,0
2023-01-30,19,8.9,0.51,4.0,0.0,1,0,0,0
2023-01-30,20,8.9,0.51,4.0,0.0,1,0,0,0
2023-01-30,21,8.9,0.51,4.0,0.0,1,0,0,0
2023-01-30,22,10.0,0.51,3.0,0.0,1,0,0,0
2023-01-30,23,10.0,0.51,3.0,0.0,1,0,0,0
2023-01-31,0,10.0,0.51,3.0,0.0,1,0,0,0
